	x
1	YGL255W
2	YHR216W
3	YLR134W
4	YGL147C
5	YDR046C
6	YOR095C
7	YMR116C
8	YBR069C
9	YML056C
10	YBR189W
11	YDR508C
12	YOL020W
13	YCL036W
14	YBR092C
15	YNL112W
16	YJR123W
17	YER064C
18	YOR108W
19	YEL040W
20	YDL227C
21	YER131W
22	YML063W
23	YGL123W
24	YGR234W
25	YKL180W
26	YJL177W
27	YBR191W
28	YEL054C
29	YIL158W
30	YER074W
31	YDR382W
32	YDL229W
33	YDL082W
34	YBR048W
35	YOR063W
36	YCR087W
37	YPL263C
38	YPL273W
39	YKL006W
40	YPL131W
41	YJR145C
42	YNL069C
43	YJL158C
44	YOR369C
45	YBR030W
46	YKR093W
47	YBL081W
48	YMR242C
49	YDL075W
50	YIL018W
51	YLL045C
52	YGL031C
53	YKL081W
54	YAL059W
55	YOR272W
56	YPL245W
57	YBL039C
58	YNL302C
59	YBL002W
60	YGR034W
61	YDR144C
62	YOR315W
63	YBR031W
64	YOR312C
65	YCR034W
66	YKL128C
67	YOR096W
68	YLR048W
69	YDL083C
70	YFR031C-A
71	YOR309C
72	YIR034C
73	YBL092W
74	YLR406C
75	YIL094C
76	YKR057W
77	YMR143W
78	YDR064W
79	YDR471W
80	YNL169C
81	YOR224C
82	YGR108W
83	YBR084W
84	YHR010W
85	YKL033W-A
86	YML073C
87	YNL175C
88	YLR060W
89	YNL248C
90	YDR418W
91	YDR450W
92	YGR128C
93	YHL015W
94	YDL182W
95	YGR177C
96	YLR222C
97	YOL127W
98	YGR123C
99	YNL062C
100	YCR031C
101	YLR372W
102	YEL053W-A
103	YGL076C
104	YOR340C
105	YLR340W
106	YJL122W
107	YNL030W
108	YDR146C
109	YDR447C
110	YHR089C
111	YDL081C
112	YER156C
113	YIL127C
114	YPR102C
115	YHR197W
116	YDR497C
117	YMR307W
118	YOR293W
119	YPR074C
120	YLR186W
121	YPR132W
122	YMR093W
123	YMR142C
124	YOR206W
125	YBL027W
126	YOR248W
127	YOR342C
128	YJL088W
129	YJL190C
130	YNL178W
131	YML052W
132	YLR413W
133	YMR032W
134	YDR384C
135	YDR449C
136	YBR079C
137	YIL133C
138	YLR150W
139	YAL025C
140	YGR187C
141	YOL076W
142	YBR238C
143	YJL200C
144	YBR029C
145	YOL039W
146	YLR175W
147	YDL167C
148	YGL189C
149	YLL008W
150	YDR087C
151	YBL003C
152	YML022W
153	YNL301C
154	YOL154W
155	YGR148C
156	YLR003C
157	YML024W
158	YDR025W
159	YKR059W
160	YIL078W
161	YHR065C
162	YBR181C
163	YDR165W
164	YPR119W
165	YPL211W
166	YLL011W
167	YIL079C
168	YPL090C
169	YMR215W
170	YDL130W
171	YLR198C
172	YDR300C
173	YMR305C
174	YHR203C
175	YIR026C
176	YLR062C
177	YLR405W
178	YMR290C
179	YPL227C
180	YDR261C
181	YOL140W
182	YHR019C
183	YLR409C
184	YNL046W
185	YHR066W
186	YNL182C
187	YNL292W
188	YNL132W
189	YDL014W
190	YGR214W
191	YOL120C
192	YOL144W
193	YLR029C
194	YDR496C
195	YDL201W
196	YMR230W
197	YHR047C
198	YKR092C
199	YDR324C
200	YER117W
201	YOR222W
202	YGR103W
203	YKL099C
204	YOR287C
205	YHR052W
206	YLR002C
207	YLR401C
208	YOL077C
209	YDR321W
210	YCR072C
211	YDR101C
212	YLR196W
213	YOL097C
214	YER006W
215	YBR104W
216	YBR247C
217	YFL045C
218	YDL228C
219	YOL010W
220	YGR085C
221	YDR060W
222	YGL171W
223	YKR081C
224	YER043C
225	YJL136C
226	YNL075W
227	YJR124C
228	YKL009W
229	YIL069C
230	YOR310C
231	YDR047W
232	YDL208W
233	YLR435W
234	YLR448W
235	YML026C
236	YOR247W
237	YDL003W
238	YGR279C
239	YLR441C
240	YLR083C
241	YKR094C
242	YBL068W
243	YLR167W
244	YGR124W
245	YDR012W
246	YPR010C
247	YJR094W-A
248	YPR145W
249	YFR005C
250	YBR249C
251	YDL051W
252	YER055C
253	YCR057C
254	YFL034C-A
255	YJL148W
256	YIL019W
257	YPL081W
258	YKL143W
259	YNR054C
260	YBR084C-A
261	YGR200C
262	YDR209C
263	YGL120C
264	YNL096C
265	YDR083W
266	YLR040C
267	YOR004W
268	YER056C-A
269	YGR173W
270	YGR027C
271	YJL168C
272	YHR062C
273	YIL148W
274	YLR197W
275	YBL009W
276	YGR094W
277	YLR084C
278	YDL148C
279	YNL162W
280	YJR143C
281	YNL151C
282	YLR009W
283	YBL087C
284	YBR121C
285	YLR221C
286	YHR196W
287	YBR162C
288	YGL097W
289	YLR449W
290	YDR417C
291	YNR009W
292	YPR187W
293	YCL037C
294	YLR333C
295	YOL121C
296	YLR129W
297	YPL266W
298	YPL086C
299	YOR341W
300	YNL061W
301	YLR045C
302	YOL007C
303	YLR146C
304	YER126C
305	YNR050C
306	YHL033C
307	YBL055C
308	YIL009W
309	YMR049C
310	YKL216W
311	YLR249W
312	YNL327W
313	YPL220W
314	YER127W
315	YOL093W
316	YPR137W
317	YGR271C-A
318	YFR028C
319	YGR283C
320	YJR109C
321	YLR183C
322	YPR110C
323	YLR314C
324	YDR161W
