	x
1	YKR034W
2	YGR087C
3	YPL223C
4	YMR107W
5	YKR039W
6	YHL016C
7	YHR096C
8	YOL163W
9	YDL169C
10	YPL054W
11	YLR142W
12	YNL142W
13	YPL036W
14	YLL057C
15	YJR152W
16	YLR312C
17	YNL117W
18	YBL049W
19	YBR208C
20	YLR438W
21	YDR070C
22	YIR030W-A
23	YBR294W
24	YIR028W
25	YBL075C
26	YKL107W
27	YOR338W
28	YPL230W
29	YDL210W
30	YMR196W
31	YIL160C
32	YHR176W
33	YGR043C
34	YPR160W
35	YBR105C
36	YDL085W
37	YIR031C
38	YOR348C
39	YMR081C
40	YOL162W
41	YIR038C
42	YLL061W
43	YOR173W
44	YFL055W
45	YDR223W
46	YDR253C
47	YOL084W
48	YNL014W
49	YGL055W
50	YAL067C
51	YJR137C
52	YJL045W
53	YJL212C
54	YJL163C
55	YAL061W
56	YIL101C
57	YOL155C
58	YLR080W
59	YGR256W
60	YDL149W
61	YDL204W
62	YPL222W
63	YPL186C
64	YMR118C
65	YJR155W
66	YGL184C
67	YGR066C
68	YLL062C
69	YLR149C
70	YIR027C
71	YGR201C
72	YDL222C
73	YDR277C
74	YLR053C
75	YGL096W
76	YLR303W
77	YJL103C
78	YDR453C
79	YBR230C
80	YJR010W
81	YEL060C
82	YIL136W
83	YLL055W
84	YPR192W
85	YHR171W
86	YIL146C
87	YFL054C
88	YKL163W
89	YAL054C
90	YNL194C
91	YPL123C
92	YNL195C
93	YDL059C
94	YFR030W
95	YLR174W
96	YGR088W
97	YGR154C
98	YDL238C
99	YPR151C
100	YOR120W
101	YIL166C
102	YBR203W
103	YEL072W
104	YIL165C
105	YKL026C
106	YBR213W
107	YNL191W
108	YBR280C
109	YKR076W
110	YLR299W
111	YER096W
112	YIR029W
113	YHL036W
114	YIL155C
115	YCR068W
116	YGL156W
117	YDL021W
118	YLR092W
119	YBR006W
120	YML128C
121	YAL034C
122	YNL115C
123	YIL167W
124	YAL062W
125	YIL055C
126	YPL229W
127	YPL119C
128	YGL121C
129	YOL126C
130	YPR030W
131	YOR003W
132	YDR001C
133	YNL277W
134	YKR033C
135	YMR090W
136	YIL164C
137	YMR105C
138	YOL153C
139	YLR164W
140	YPR061C
141	YIR042C
142	YEL011W
143	YKL050C
144	YIL097W
145	YMR169C
146	YLR356W
147	YLR155C
148	YIL107C
149	YLR157C
150	YLR160C
151	YLR158C
152	YER150W
153	YPL171C
154	YPL017C
155	YDL199C
156	YOR032C
157	YPR026W
158	YBR169C
159	YBR241C
160	YMR181C
161	YJL057C
162	YKR049C
163	YIL045W
164	YKR075C
165	YFL030W
166	YLR327C
167	YDL223C
168	YCL048W-A
169	YNR068C
170	YLL056C
171	YNR069C
172	YOL071W
173	YDL239C
174	YPR150W
175	YLL060C
176	YDR085C
177	YOL083W
178	YKL001C
179	YER045C
180	YIL099W
181	YPR167C
182	YCL018W
183	YHR112C
184	YER079W
185	YFL021W
186	YHR138C
187	YGL180W
188	YEL066W
189	YHR202W
190	YHL024W
191	YER054C
192	YER091C
193	YOL119C
194	YER042W
195	YDL218W
196	YJL060W
197	YGR019W
198	YNL200C
199	YOL128C
200	YLR108C
201	YOR062C
202	YOR374W
203	YKL151C
204	YGR060W
205	YKR097W
206	YML131W
207	YFR017C
208	YPR184W
209	YGR161C
210	YMR191W
211	YJL155C
212	YEL039C
213	YER158C
214	YEL012W
215	YMR041C
216	YPL088W
217	YPL213W
218	YGR070W
219	YLR246W
220	YPR194C
221	YHR092C
222	YIL071C
223	YDR030C
